"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"59","D'Andre Swift","CHI","5","RB23","69","68","46","61.0"
"60","Joe Mixon","HOU","6","RB24","62","52","70","61.3"
"61","Isiah Pacheco","KC","10","RB25","64","62","62","62.7"
"62","Tetairoa McMillan","CAR","14","WR27","77","59","53","63.0"
"63","Jameson Williams","DET","8","WR28","66","58","66","63.3"
"64","T.J. Hockenson","MIN","6","TE5","53","64","74","63.7"
"65","Travis Kelce","KC","10","TE6","58","69","64","63.7"
"66","George Pickens","DAL","10","WR29","65","63","68","65.3"
"67","Aaron Jones","MIN","6","RB26","71","66","60","65.7"
"68","Tony Pollard","TEN","10","RB27","63","73","63","66.3"
"69","Baker Mayfield","TB","9","QB7","59","72","69","66.7"
"70","Kaleb Johnson","PIT","5","RB28","67","77","57","67.0"
"71","Travis Hunter","JAC","8","WR30","70","65","72","69.0"
"72","Calvin Ridley","TEN","10","WR31","75","75","58","69.3"
"73","Jaylen Waddle","MIA","12","WR32","72","67","77","72.0"
"74","Bo Nix","DEN","12","QB8","68","81","73","74.0"
"75","Chris Olave","NO","11","WR33","81","70","76","75.7"
"76","Mark Andrews","BAL","7","TE7","60","78","90","76.0"
"77","Jerry Jeudy","CLE","9","WR34","87","74","67","76.0"
"78","Brian Robinson Jr.","WAS","12","RB29","82","80","80","80.7"
"79","Tyrone Tracy Jr.","NYG","14","RB30","88","83","75","82.0"
"80","Rome Odunze","CHI","5","WR35","85","79","83","82.3"
"81","Chris Godwin","TB","9","WR36","86","82","82","83.3"
"82","Jordan Addison","MIN","6","WR37","90","76","87","84.3"
"83","Jaylen Warren","PIT","5","RB31","89","88","78","85.0"
"84","Evan Engram","DEN","12","TE8","83","89","85","85.7"
"85","Deebo Samuel","WAS","12","WR38","100","85","79","88.0"
"86","Kyler Murray","ARI","8","QB9","92","92","88","90.7"
"87","Stefon Diggs","NE","14","WR39","102","91","81","91.3"
"88","David Njoku","CLE","9","TE9","74","93","108","91.7"
"89","Quinshon Judkins","CLE","9","RB32","101","71","112","94.7"
"90","Travis Etienne Jr.","JAC","8","RB33","108","87","89","94.7"
"91","Jakobi Meyers","LV","8","WR40","105","84","96","95.0"
"92","Cooper Kupp","SEA","8","WR41","113","90","84","95.7"
"93","Jordan Mason","MIN","6","RB34","96","108","91","98.3"
"94","Jauan Jennings","SF","14","WR42","104","100","93","99.0"
"95","Ricky Pearsall","SF","14","WR43","107","94","97","99.3"
"96","Jared Goff","DET","8","QB10","99","98","101","99.3"
"97","Brock Purdy","SF","14","QB11","76","111","114","100.3"
"98","Jayden Reed","GB","5","WR44","98","96","113","102.3"
"99","Dak Prescott","DAL","10","QB12","95","121","92","102.7"
"100","Matthew Golden","GB","5","WR45","130","95","86","103.7"
"101","Justin Fields","NYJ","9","QB13","79","127","107","104.3"
"102","Khalil Shakir","BUF","7","WR46","127","86","104","105.7"
"103","Cam Skattebo","NYG","14","RB35","115","102","100","105.7"
"104","J.K. Dobbins","DEN","12","RB36","111","116","95","107.3"
"105","Tucker Kraft","GB","5","TE10","94","112","117","107.7"
"106","Zach Charbonnet","SEA","8","RB37","117","107","99","107.7"
"107","Emeka Egbuka","TB","9","WR47","112","109","102","107.7"
"108","Justin Herbert","LAC","12","QB14","103","110","115","109.3"
"109","Caleb Williams","CHI","5","QB15","109","122","98","109.7"
"110","Rhamondre Stevenson","NE","14","RB38","118","106","110","111.3"
"111","Tyler Warren","IND","11","TE11","129","97","111","112.3"
"112","Javonte Williams","DAL","10","RB39","142","103","94","113.0"
"113","Najee Harris","LAC","12","RB40","121","101","120","114.0"
"114","Tank Bigsby","JAC","8","RB41","128","123","103","118.0"
"115","Josh Downs","IND","11","WR48","136","104","119","119.7"
"116","Colston Loveland","CHI","5","TE12","141","115","105","120.3"
"117","Jonnu Smith","PIT","5","TE13","124","99","141","121.3"
"118","Jake Ferguson","DAL","10","TE14","125","124","123","124.0"
"119","Drake Maye","NE","14","QB16","120","132","122","124.7"
"120","Dalton Kincaid","BUF","7","TE15","116","118","142","125.3"
"121","Jordan Love","GB","5","QB17","123","129","136","129.3"
"122","Brandon Aiyuk","SF","14","WR49","152","105","134","130.3"
"123","Denver Broncos","DST","12","DST1","80","151","163","131.3"
"124","Tyjae Spears","TEN","10","RB42","170","119","106","131.7"
"125","C.J. Stroud","HOU","6","QB18","131","131","133","131.7"
"126","Philadelphia Eagles","DST","9","DST2","78","148","170","132.0"
"127","Brandon Aubrey","DAL","10","K1","84","159","153","132.0"
"128","Dallas Goedert","PHI","9","TE16","119","130","152","133.7"
"129","Michael Pittman Jr.","IND","11","WR50","171","114","118","134.3"
"130","Jaydon Blue","DAL","10","RB43","163","134","109","135.3"
"131","Kyle Pitts Sr.","ATL","5","TE17","143","125","138","135.3"
"132","J.J. McCarthy","MIN","6","QB19","137","138","131","135.3"
"133","Keon Coleman","BUF","7","WR51","165","120","126","137.0"
"134","Rachaad White","TB","9","RB44","172","128","121","140.3"
"135","Austin Ekeler","WAS","12","RB45","161","137","124","140.7"
"136","Nick Chubb","HOU","6","RB46","144","147","132","141.0"
"137","Pittsburgh Steelers","DST","5","DST3","91","157","183","143.7"
"138","Cameron Dicker","LAC","12","K2","97","161","173","143.7"
"139","Isaac Guerendo","SF","14","RB47","159","143","130","144.0"
"140","Jerome Ford","CLE","9","RB48","173","146","116","145.0"
"141","Ray Davis","BUF","7","RB49","176","141","129","148.7"
"142","Luther Burden III","CHI","5","WR52","162","136","148","148.7"
"143","Jayden Higgins","HOU","6","WR53","202","117","128","149.0"
"144","Darnell Mooney","ATL","5","WR54","200","113","135","149.3"
"145","Trey Benson","ARI","8","RB50","185","142","125","150.7"
"146","Jake Bates","DET","8","K3","106","162","185","151.0"
"147","Rico Dowdle","CAR","14","RB51","166","140","147","151.0"
"148","Braelon Allen","NYJ","9","RB52","174","156","127","152.3"
"149","Cameron Ward","TEN","10","QB20","140","155","167","154.0"
"150","Baltimore Ravens","DST","7","DST4","93","182","190","155.0"
"151","Tua Tagovailoa","MIA","12","QB21","147","178","140","155.0"
"152","Hunter Henry","NE","14","TE18","148","169","151","156.0"
"153","Dylan Sampson","CLE","9","RB53","169","158","143","156.7"
"154","Rashid Shaheed","NO","11","WR55","191","126","154","157.0"
"155","Tre' Harris","LAC","12","WR56","189","133","149","157.0"
"156","Bhayshul Tuten","JAC","8","RB54","182","144","146","157.3"
"157","Minnesota Vikings","DST","6","DST5","110","163","200","157.7"
"158","Marvin Mims Jr.","DEN","12","WR57","201","135","137","157.7"
"159","Michael Penix Jr.","ATL","5","QB22","145","175","158","159.3"
"160","Keenan Allen","LAC","12","WR58","164","174","144","160.7"
"161","Tyler Allgeier","ATL","5","RB55","192","153","145","163.3"
"162","Zach Ertz","WAS","12","TE19","181","150","159","163.3"
"163","Christian Kirk","HOU","6","WR59","198","139","157","164.7"
"164","DeAndre Hopkins","BAL","7","WR60","146","193","156","165.0"
"165","Ka'imi Fairbairn","HOU","6","K4","133","166","197","165.3"
"166","Trevor Lawrence","JAC","8","QB23","190","168","139","165.7"
